ID,Name,Link
127,Fairchild Channel F,https://www.igdb.com/platforms/fairchild-channel-f
128,PC Engine SuperGrafx,https://www.igdb.com/platforms/supergrafx
129,Texas Instruments TI-99,https://www.igdb.com/platforms/ti-99
130,Nintendo Switch,https://www.igdb.com/platforms/switch
131,Nintendo PlayStation,https://www.igdb.com/platforms/nintendo-playstation
132,Amazon Fire TV,https://www.igdb.com/platforms/amazon-fire-tv
133,Odyssey 2 / Videopac G7000,https://www.igdb.com/platforms/odyssey-2-slash-videopac-g7000
134,Acorn Electron,https://www.igdb.com/platforms/acorn-electron
135,Hyper Neo Geo 64,https://www.igdb.com/platforms/hyper-neo-geo-64
136,Neo Geo CD,https://www.igdb.com/platforms/neo-geo-cd
137,New Nintendo 3DS,https://www.igdb.com/platforms/new-nintendo-3ds
138,VC 4000,https://www.igdb.com/platforms/vc-4000
139,1292 Advanced Programmable Video System,https://www.igdb.com/platforms/1292-advanced-programmable-video-system
140,AY-3-8500,https://www.igdb.com/platforms/ay-3-8500
141,AY-3-8610,https://www.igdb.com/platforms/ay-3-8610
142,PC-50X Family,https://www.igdb.com/platforms/pc-50x-family
143,AY-3-8760,https://www.igdb.com/platforms/ay-3-8760
144,AY-3-8710,https://www.igdb.com/platforms/ay-3-8710
145,AY-3-8603,https://www.igdb.com/platforms/ay-3-8603
146,AY-3-8605,https://www.igdb.com/platforms/ay-3-8605
147,AY-3-8606,https://www.igdb.com/platforms/ay-3-8606
148,AY-3-8607,https://www.igdb.com/platforms/ay-3-8607
149,PC-98,https://www.igdb.com/platforms/pc-98
150,Turbografx-16/PC Engine CD,https://www.igdb.com/platforms/turbografx-16-slash-pc-engine-cd
151,TRS-80 Color Computer,https://www.igdb.com/platforms/trs-80-color-computer
152,FM-7,https://www.igdb.com/platforms/fm-7
153,Dragon 32/64,https://www.igdb.com/platforms/dragon-32-slash-64
154,Amstrad PCW,https://www.igdb.com/platforms/amstrad-pcw
155,Tatung Einstein,https://www.igdb.com/platforms/tatung-einstein
156,Thomson MO5,https://www.igdb.com/platforms/thomson-mo5
157,NEC PC-6000 Series,https://www.igdb.com/platforms/nec-pc-6000-series
158,Commodore CDTV,https://www.igdb.com/platforms/commodore-cdtv
159,Nintendo DSi,https://www.igdb.com/platforms/nintendo-dsi
161,Windows Mixed Reality,https://www.igdb.com/platforms/windows-mixed-reality
162,Oculus VR,https://www.igdb.com/platforms/oculus-vr
163,SteamVR,https://www.igdb.com/platforms/steam-vr
164,Daydream,https://www.igdb.com/platforms/daydream
165,PlayStation VR,https://www.igdb.com/platforms/playstation-vr
166,Pokémon mini,https://www.igdb.com/platforms/pokemon-mini
167,PlayStation 5,https://www.igdb.com/platforms/ps5
169,Xbox Series X|S,https://www.igdb.com/platforms/series-x
170,Google Stadia,https://www.igdb.com/platforms/stadia
203,DUPLICATE Stadia,https://www.igdb.com/platforms/duplicate-stadia
236,Exidy Sorcerer,https://www.igdb.com/platforms/exidy-sorcerer
237,Sol-20,https://www.igdb.com/platforms/sol-20
238,DVD Player,https://www.igdb.com/platforms/dvd-player
239,Blu-ray Player,https://www.igdb.com/platforms/blu-ray-player
240,Zeebo,https://www.igdb.com/platforms/zeebo
274,PC-FX,https://www.igdb.com/platforms/pc-fx
306,Satellaview,https://www.igdb.com/platforms/satellaview
307,Game & Watch,https://www.igdb.com/platforms/game-and-watch
308,Playdia,https://www.igdb.com/platforms/playdia
309,Evercade,https://www.igdb.com/platforms/evercade
